City,month_depart,minPrice,maxPrice,meanPrice
Funchal,2,15.63,33.11,19.51615384615385
Luxemburgo,3,18.36,34.88,23.878
Madrid,3,19.28,33.05,23.916999999999998
Paris,2,22.03,25.75,24.585
Funchal,3,18.36,38.54,24.639
Agadir,3,24.82,24.82,24.82
Madrid,4,24.78,28.51,26.282
Paris,3,20.2,42.21,27.81368421052632
Londres,3,24.82,39.55,28.366153846153846
Madrid,2,25.74,32.12,28.376666666666665
Las Palmas,1,29.41,29.41,29.41
Agadir,1,29.48,29.48,29.48
Bergerac,2,29.38,30.4,29.661666666666665
Funchal,5,31.27,31.27,31.27
Manchester,1,30.4,33.16,32.208888888888886
Birmingham,3,32.24,32.24,32.24
Faro,3,28.49,40.44,32.955
Barcelona,12,33.05,33.1,33.083333333333336
Faro,2,32.17,35.0,33.585
Paris,5,34.03,34.03,34.03
Madrid,5,34.08,34.08,34.08
Barcelona,10,36.72,36.72,36.72
Liverpool,3,36.77,36.85,36.83
Faro,5,35.79,40.53,36.995
Luxemburgo,2,24.87,68.98,37.575714285714284
Milão,3,21.14,48.65,37.684666666666665
Santa Cruz de Tenerife,3,33.03,43.23,38.13625
Granadilla de Abona,3,33.03,43.23,38.13625
Milão,2,29.43,50.66,39.705
Málaga,3,32.12,65.17,39.806666666666665
Barcelona,2,38.54,43.23,39.823
Barcelona,9,36.77,46.06,39.870000000000005
Barcelona,3,38.6,41.31,40.406666666666666
Marselha,5,40.47,40.47,40.47
Bérgamo,3,30.33,48.65,40.85888888888889
Manchester,2,41.31,41.31,41.31
Londres,2,26.66,67.01,41.591818181818184
Bérgamo,2,38.54,50.66,42.05
Brive-la-Gaillarde,5,42.23,42.3,42.277499999999996
Barcelona,4,36.7,54.26,42.46
Milão,5,43.23,43.23,43.23
Bérgamo,5,43.23,43.23,43.23
Lisboa,3,43.29,43.3,43.295
Valência,3,38.69,53.42,43.364444444444445
Milão,6,24.87,73.43,43.75636363636364
Toulouse,4,39.46,49.65,44.122
Brive-la-Gaillarde,9,44.21,44.22,44.2125
Faro,4,35.0,57.02,44.39142857142857
Dole,2,40.39,77.2,44.93666666666667
Málaga,5,45.07,45.07,45.07
Toulouse,3,21.11,172.78,45.642222222222216
Bordéus,5,45.98,45.98,45.98
Lajes,2,38.69,73.43,46.178
Ponta Delgada,2,39.46,48.73,46.366
