Aviso de Chuvas Intensas. Severidade Grau: ModerateChuvas Intensas,in 2 hours,Brazil,"Aviso para as áreas: Leste Goiano, Distrito Federal, Noroeste de Minas, Sul Goiano, Norte Goiano...",Region III - South America,2023-01-16 20:33,"Aviso para as áreas: Leste Goiano, Distrito Federal, Noroeste de Minas, Sul Goiano, Norte Goiano..., Brazil","(None, None)"
Small Craft Advisory issued January 16 at 3:25PM EST until January 17 at 10:00AM EST by NWS CaribouSmall Craft Advisory,8 minutes ago,United States of America,"Coastal Waters from Eastport, ME to Schoodic Point, ME out 25 NM; Coastal Waters from Schoodic Point, ME to Stonington, ME out 25 NM; Intra Coastal Waters from Schoodic Point, ME to Stonington, ME...","Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Coastal Waters from Eastport, ME to Schoodic Point, ME out 25 NM; Coastal Waters from Schoodic Point, ME to Stonington, ME out 25 NM; Intra Coastal Waters from Schoodic Point, ME to Stonington, ME..., United States of America","(None, None)"
Strong Wind Watchwind,9 minutes ago,New Zealand,"Gisborne north of Ruatoria, and Bay Of Plenty east of Opotiki...",Region V - South West Pacific,2023-01-16 20:33,"Gisborne north of Ruatoria, and Bay Of Plenty east of Opotiki..., New Zealand","(None, None)"
Heavy Rain Watchrain,9 minutes ago,New Zealand,Gisborne about and south of Tolaga Bay,Region V - South West Pacific,2023-01-16 20:33,"Gisborne about and south of Tolaga Bay, New Zealand","(None, None)"
Heavy Rain Warning - Orangerain,9 minutes ago,New Zealand,Gisborne north of Tolaga Bay,Region V - South West Pacific,2023-01-16 20:33,"Gisborne north of Tolaga Bay, New Zealand","(None, None)"
Severe Weather Statement issued January 16 at 2:21PM CST until January 16 at 2:45PM CST by NWS QuadCitiesSevere Weather Statement,12 minutes ago,United States of America,Iowa; Johnson,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Iowa; Johnson, United States of America","(None, None)"
Winter Storm Warning issued January 16 at 1:21PM MST until January 17 at 11:00PM MST by NWS FlagstaffWinter Storm Warning,12 minutes ago,United States of America,Black Mesa Area; Chinle Valley; Chuska Mountains and Defiance Plateau...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Black Mesa Area; Chinle Valley; Chuska Mountains and Defiance Plateau..., United States of America","(None, None)"
Winter Storm Warning issued January 16 at 1:21PM MST until January 17 at 11:00PM MST by NWS FlagstaffWinter Storm Warning,12 minutes ago,United States of America,Coconino Plateau; Eastern Mogollon Rim; Grand Canyon Country; Kaibab Plateau; Northern Gila County; Oak Creek and Sycamore Canyons; Western Mogollon Rim; White Mountains; Yavapai County Mountains...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Coconino Plateau; Eastern Mogollon Rim; Grand Canyon Country; Kaibab Plateau; Northern Gila County; Oak Creek and Sycamore Canyons; Western Mogollon Rim; White Mountains; Yavapai County Mountains..., United States of America","(None, None)"
Small Craft Advisory issued January 16 at 3:21PM EST until January 17 at 1:00AM EST by NWS Philadelphia - Mount HollySmall Craft Advisory,12 minutes ago,United States of America,Coastal waters from Cape Henlopen to Fenwick Island DE out 20 nm; Coastal waters from Cape May NJ to Cape Henlopen DE out 20 nm; Coastal waters from Great Egg Inlet to Cape May NJ out 20 nm...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Coastal waters from Cape Henlopen to Fenwick Island DE out 20 nm; Coastal waters from Cape May NJ to Cape Henlopen DE out 20 nm; Coastal waters from Great Egg Inlet to Cape May NJ out 20 nm..., United States of America","(None, None)"
Small Craft Advisory issued January 16 at 3:21PM EST until January 17 at 1:00AM EST by NWS Philadelphia - Mount HollySmall Craft Advisory,12 minutes ago,United States of America,Coastal waters from Little Egg Inlet to Great Egg Inlet NJ out 20 nm; Coastal waters from Manasquan Inlet to Little Egg Inlet NJ out 20 nm; Coastal waters from Sandy Hook to Manasquan Inlet NJ out 20 nm...,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Coastal waters from Little Egg Inlet to Great Egg Inlet NJ out 20 nm; Coastal waters from Manasquan Inlet to Little Egg Inlet NJ out 20 nm; Coastal waters from Sandy Hook to Manasquan Inlet NJ out 20 nm..., United States of America","(None, None)"
"Flooding - Warnings for Ijsselmeergebied - Nederlandawareness_type=12,awareness_level=2.0",12 minutes ago,Netherlands,Ijsselmeergebied,Region VI - Europe,2023-01-16 20:33,"Ijsselmeergebied, Netherlands","(None, None)"
"Flooding - Warnings for Noord-Brabant - Nederlandawareness_type=12,awareness_level=2.0",12 minutes ago,Netherlands,Noord-Brabant,Region VI - Europe,2023-01-16 20:33,"Noord-Brabant, Netherlands","(None, None)"
"Flooding - Warnings for Limburg - Nederlandawareness_type=12,awareness_level=2.0",12 minutes ago,Netherlands,Limburg,Region VI - Europe,2023-01-16 20:33,"Limburg, Netherlands","(None, None)"
"Flooding - Warnings for Gelderland - Nederlandawareness_type=12,awareness_level=2.0",12 minutes ago,Netherlands,Gelderland,Region VI - Europe,2023-01-16 20:33,"Gelderland, Netherlands","(None, None)"
Tornado Warning issued January 16 at 2:20PM CST until January 16 at 2:45PM CST by NWS QuadCitiesTornado Warning,13 minutes ago,United States of America,Benton; Iowa; Johnson; Linn,"Region IV - North America, Central America and the CaribbeanRegion V - South West Pacific",2023-01-16 20:33,"Benton; Iowa; Johnson; Linn, United States of America","(None, None)"
Panzhou Meteorological Station continued to issue orange fog warning signal [II/serious]Dense fog,13 minutes ago,China,Panzhou City,Region II - Asia,2023-01-16 20:33,"Panzhou City, China","(None, None)"
